Date;ALV.DE;KNEBV.HE;KER.PA;FP.PA;VOW3.DE;SAN.PA;SU.PA;ENEL.MI;ISP.MI;INGA.AS;BAYN.DE;IBE.MC;MC.PA;CRH.L;SIE.DE;DAI.DE;LIN.DE;ENGI.PA;AI.PA;ENI.MI;PHIA.AS;MUV2.DE;BAS.DE;BMW.DE;OR.PA;RI.PA
2010-05-10;79.75;15.729999542236328;91.08551788330078;39.45000076293945;69.0;49.70000076293945;39.224998474121094;3.762500047683716;2.103195905685425;6.315000057220459;45.29789352416992;5.454999923706055;83.91000366210938;1598.9000244140625;69.17903900146484;36.75;63.880001068115234;24.950000762939453;52.18997573852539;16.010000228881836;23.424827575683594;103.0999984741211;42.0;36.22999954223633;74.13999938964844;61.0
2010-05-11;81.25;16.204999923706055;92.85145568847656;39.56999969482422;70.44000244140625;50.45000076293945;40.255001068115234;3.7874999046325684;2.2036819458007812;6.743000030517578;44.874732971191406;5.823999881744385;86.75;1691.800048828125;70.54537200927734;37.334999084472656;63.880001068115234;25.434999465942383;53.314544677734375;16.229999542236328;24.635272979736328;104.5;43.43000030517578;36.869998931884766;75.20999908447266;61.9900016784668
2010-05-12;83.22000122070312;16.2450008392334;94.52445983886719;39.599998474121094;70.95999908447266;51.0;40.6150016784668;3.7799999713897705;2.175640106201172;7.010000228881836;47.13323211669922;5.672999858856201;87.55000305175781;1691.0;71.75666046142578;38.349998474121094;63.11000061035156;25.559999465942383;52.55033493041992;16.360000610351562;24.649974822998047;106.6500015258789;43.560001373291016;37.970001220703125;75.86000061035156;62.66999816894531
2010-05-13;86.5;;97.54515075683594;40.685001373291016;73.18000030517578;52.0099983215332;42.130001068115234;3.9049999713897705;2.2621049880981445;7.150000095367432;47.974632263183594;5.7729997634887695;91.58999633789062;1710.800048828125;74.3245849609375;40.20000076293945;63.11000061035156;26.235000610351562;54.05390167236328;16.670000076293945;25.512479782104492;109.5;45.599998474121094;39.349998474121094;77.8499984741211;64.68000030517578
2010-05-14;86.08000183105469;17.100000381469727;97.17337036132812;39.97999954223633;72.4800033569336;51.75;41.20000076293945;3.7774999141693115;2.1452600955963135;7.078000068664551;48.13208770751953;5.658999919891357;91.2699966430664;1691.0;74.66374969482422;41.0;63.11000061035156;25.815000534057617;53.314544677734375;16.350000381469727;25.012619018554688;109.0999984741211;46.025001525878906;39.415000915527344;77.33999633789062;63.310001373291016
2010-05-17;84.4000015258789;16.295000076293945;93.64148712158203;38.3650016784668;71.26000213623047;50.40999984741211;39.244998931884766;3.5999999046325684;2.005047082901001;6.51200008392334;45.903114318847656;5.302999973297119;86.73999786376953;1566.199951171875;71.08802795410156;40.209999084472656;64.58000183105469;24.6299991607666;51.01570129394531;15.979999542236328;23.914886474609375;104.75;43.89500045776367;38.380001068115234;74.43000030517578;61.31999969482422
2010-05-18;84.9000015258789;16.299999237060547;95.82568359375;39.11000061035156;70.5;51.029998779296875;39.8650016784668;3.6500000953674316;2.1008589267730713;6.915999889373779;47.389095306396484;5.355999946594238;87.97000122070312;1617.0;73.23927307128906;41.31999969482422;63.900001525878906;25.299999237060547;52.28938674926758;15.90999984741211;24.99301528930664;105.80000305175781;45.560001373291016;39.099998474121094;75.0;63.400001525878906
2010-05-19;83.80000305175781;16.229999542236328;95.36095428466797;38.599998474121094;70.4000015258789;50.75;40.0099983215332;3.640000104904175;2.0611319541931152;6.679999828338623;46.74451446533203;5.436999797821045;87.66999816894531;1592.0;72.87104034423828;41.400001525878906;62.77000045776367;25.235000610351562;51.661861419677734;15.920000076293945;24.73818588256836;105.69999694824219;45.09000015258789;38.150001525878906;73.45999908447266;62.29999923706055
2010-05-20;82.25;15.8100004196167;92.58192443847656;38.400001525878906;69.75;48.68000030517578;39.6349983215332;3.619999885559082;2.0354270935058594;6.650000095367432;46.52801513671875;5.324999809265137;85.83999633789062;1564.5;72.04736328125;40.599998474121094;62.77000045776367;25.315000534057617;51.854469299316406;15.850000381469727;24.32163429260254;103.0999984741211;44.0099983215332;37.44499969482422;73.52999877929688;62.91999816894531
2010-05-21;80.5;15.354999542236328;87.7859878540039;37.47499084472656;66.12999725341797;47.185001373291016;38.47999954223633;3.5799999237060547;1.9886889457702637;6.28000020980835;45.120758056640625;5.218999862670898;84.16999816894531;1501.699951171875;68.82049560546875;38.150001525878906;62.77000045776367;25.299999237060547;50.487586975097656;15.539999961853027;23.057283401489258;101.4000015258789;42.220001220703125;36.20000076293945;75.01000213623047;61.38999938964844
