Dates;date;Entreprises;NUMBER_EMPLOYEES_CSR;yearly_return;SP 500;AUDIT_COMMITTEE_MEETINGS;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED
2014-12-31;2014-12-31;ISP IM Equity;88932.0;38.05448;11.39;51.0;96.62299999999999;119000.0;0.07520000000000004;1634000.0;5371000.0;1092883.9655677811;8956.12;11.514739863149625;1243417.9718268365;0.14790000000000003;804811.7361479077;5.492872443952967;1.0;245250.0;76.7544;1.6667;0;1;1;0
2015-12-31;2015-12-31;ISP IM Equity;87642.0;30.24912;-0.73;48.0;96.62299999999999;119000.0;0.05630000000000002;1650000.0;5135000.000000004;1687851.0815661908;8956.12;4.636892240916778;689370.4877707274;0.11419999999999997;664221.3337243783;3.07794480645609;0.0;253300.0;71.9298;2.6667;0;1;1;0
2016-12-31;2016-12-31;ISP IM Equity;95025.0;-16.37396;9.54;19.0;96.62299999999999;338000.0;0.06169999999999998;2412000.0;5336000.0;962996.804055291;8956.12;2.7623690611409275;1240420.1061632808;0.1199;347901.3306124978;2.27171796742621;2.0;327000.0;70.61399999999999;3.6667;0;1;1;0
2017-12-31;2017-12-31;ISP IM Equity;94032.0;21.752;19.42;37.0;96.62299999999999;119000.0;0.035699999999999954;2600000.0;3874999.9999999963;2056788.5144703342;8956.12;1.6923210044108423;1322483.4209133468;0.06379999999999997;1106596.753652371;5.153570649897079;0.0;238277.7778;69.7368;3.6667;0;1;1;0
2018-12-31;2018-12-31;ISP IM Equity;98055.0;-24.8575;-6.24;42.0;96.62299999999999;59000.0;0.04590000000000005;2600000.0;4216000.000000004;1825884.529241084;8956.12;6.522137544468083;144481.73487385898;0.08520000000000005;822768.2828496743;3.726923765155289;0.0;245166.6667;71.0526;3.6667;0;1;1;0
2019-12-31;2019-12-31;ISP IM Equity;95112.0;33.127140000000004;28.88;36.0;96.62299999999999;59000.0;0.046599999999999975;2613000.0;4507000.0;1709814.224019532;8956.12;1.4835576458246342;714579.062952654;0.0878000000000001;1201830.827275884;4.505245246122842;0.0;316636.3636;69.2982;3.6667;0;1;1;0
2005-12-31;2005-12-31;BAYN GR Equity;82600.0;54.32792;-30.3;5.481310685725495;93.40872343733471;526267.628878957;-1.952754874953997;1440998.221209259;314639056.7215097;968041.9120063303;1751.4865755866213;2.7534989625314665;1879560.9716866533;0.555774648367293;-78167.17353912105;4.22039219619972;0.8667777531431199;-891681.2543080107;55.298684212845274;5.848995780553613;0;0;0;0
2006-12-31;2006-12-31;BAYN GR Equity;106000.0;18.48314;13.62;4.0;93.0053599925581;299226.3574289556;2.418337864881313;1346817.1002154406;51796440.13914925;1157112.9998535789;2182.3250995644676;0.21489434891963022;1323494.9905797981;-1.2169546203530257;391765.12394246215;1.671988019496328;1.4238997592927403;589135.9081358148;39.6694;5.38580935452592;0;0;0;0
2007-12-31;2007-12-31;BAYN GR Equity;106200.0;56.08268;3.53;4.0;92.82319087636267;497911.9997755338;0.07899999999999996;748872.0;7754442.0;748887.1768016885;1546.485699693962;0.09900000000000009;2064158.9950418007;0.13;416129.0454958447;3.4869853463392237;0.0;89363.837;49.1736;3.933006249715354;0;0;0;0
2008-12-31;2008-12-31;BAYN GR Equity;108600.0;-31.70692;-38.49;4.0;93.48486253042006;44736.3054433419;0.10800000000000004;794000.0;7603000.0;791949.266601353;1317.8441149285454;0.134;923350.1158013148;0.19200000000000006;65845.66973986663;3.4394537137899066;0.0;114950.00000000003;52.0661;4.011501891214576;0;0;0;0
2009-12-31;2009-12-31;BAYN GR Equity;111000.0;39.81601;23.45;4.0;91.8878145916713;260124.6453990686;0.09499999999999997;812000.0;7598000.0;1208354.8568515521;2953.7323328689463;0.118;1704544.356550352;0.09299999999999997;234017.35063830437;3.6741779110008075;0.0;114950.00000000003;58.2645;5.296385596701339;0;0;0;0
2010-12-31;2010-12-31;BAYN GR Equity;111400.0;1.7338060000000002;12.78;4.0;94.06266520598714;584849.9136014226;0.11599999999999994;1773000.0;11485000.0;640028.834694112;2028.2690086276486;0.14300000000000002;1869325.2747591457;0.22799999999999998;542208.8549336416;2.592988275372538;4.0;109190.47599999997;64.0496;1.0;0;0;0;0
2011-12-31;2011-12-31;BAYN GR Equity;111800.0;-8.354805;-30.0;4.0;95.28209148395615;324137.34487174486;0.11599999999999994;1773000.0;0.0;957077.8173542827;2550.1685263958234;0.14300000000000002;1805009.0223882236;0.22799999999999998;-27049.998856628663;1.182008859316059;4.0;114950.00000000003;64.0496;1.0;1;0;0;0
2012-12-31;2012-12-31;BAYN GR Equity;110500.0;50.02536;13.41;4.0;91.4690301784962;282080.1847887093;0.05700000000000005;1773000.0;4668000.0;951966.0643316128;2191.400447791916;0.06899999999999995;1716646.5130572221;0.11099999999999999;654690.9646297815;2.869784549301208;0.0;109962.96299999996;64.4628;3.0;1;0;0;0
2013-12-31;2013-12-31;BAYN GR Equity;113200.0;45.17986;29.6;4.0;92.04292924802611;332974.25614188216;0.10900000000000004;1347000.0;8486000.0;854026.0499712426;1854.7790134694706;0.1369999999999999;1829274.3295279937;0.19099999999999995;490181.4428896662;2.7206351711011214;4.0;165450.0;64.0496;4.0;1;0;0;0
2014-12-31;2014-12-31;BAYN GR Equity;118900.0;13.166260000000001;11.39;4.0;92.26820833010292;311909.7249258228;0.124;1363000.0;9169000.0;1441230.0636470993;2742.604617066874;0.15800000000000003;1845717.1400044826;0.21399999999999997;497056.095384517;2.87046483986155;5.0;156476.19;66.5289;0.25;1;0;0;0
2015-12-31;2015-12-31;BAYN GR Equity;116800.0;4.204772;-0.73;4.0;81.098;40000.0;0.09499999999999997;1374000.0;8818000.0;878318.9010398888;392.99400000000014;0.121;1276950.9999878677;0.16899999999999993;600749.7775373321;2.001162507238593;1.0;149590.909;66.1157;1.25;1;0;0;0
2016-12-31;2016-12-31;BAYN GR Equity;115200.0;-12.251389999999999;9.54;4.0;81.098;146000.0;0.174;1760000.0;15448000.0;857014.1803448894;392.99400000000014;0.22999999999999998;1498957.4900903567;0.33299999999999996;445587.33164458827;1.9347520739468156;6.0;158136.364;66.9421;2.25;1;0;0;0
2017-12-31;2017-12-31;BAYN GR Equity;99820.0;7.474365;19.42;4.0;81.098;49000.00000000003;0.17100000000000004;1487000.0;12296000.0;926554.1494627843;392.99400000000014;0.22599999999999998;1693630.2092009347;0.33399999999999996;549493.9242853505;0.0;0.0;142423.077;65.7025;3.25;1;0;0;0
2018-12-31;2018-12-31;BAYN GR Equity;116998.0;-39.17129;-6.24;4.0;81.098;46000.0;0.14100000000000001;1511000.0;12763000.0;1092703.029059669;392.99400000000014;0.18199999999999994;1708668.51632622;0.30100000000000005;393147.145647954;0.0;6.0;185571.42899999997;61.9835;0.5830000000000002;1;0;0;0
2019-12-31;2019-12-31;BAYN GR Equity;105224.0;25.85821;28.88;4.0;81.098;47000.00000000003;0.139;1650000.0;13230000.0;953047.1610362134;392.99400000000014;0.17999999999999994;1329723.677087037;0.277;214431.81004885118;0.0;3.0;185600.0;67.7686;1.5830000000000002;1;0;0;0
2005-12-31;2005-12-31;ENEL IM Equity;51778.0;-0.8082015;-30.3;7.419153236490585;91.56936118434861;254331.27462548352;1.0560366622798356;1391832.973071513;59316474.39832534;948224.1266284235;1834.7191978983149;1.8020985234215887;1452401.196085334;0.6947817691830813;515128.2642750174;2.0579732947726748;1.1425501052438365;-19677.497274356254;38.4298;4.697081469057953;0;0;0;0
2006-12-31;2006-12-31;ENEL IM Equity;43557.0;28.932779999999998;13.62;7.684099413929198;92.15730102467427;273388.3269727721;1.0840375060231595;1420866.812317412;102115215.5673855;894670.009766801;1497.6884499954672;1.6457343391891652;1365533.5425700755;1.8005123597985255;431147.79596765235;2.4831406288976425;1.1864143933789817;-197800.35691777995;38.843;4.573016953323918;0;0;0;0
2007-12-31;2007-12-31;ENEL IM Equity;73500.0;10.55071;3.53;8.088649116949412;94.7340898948375;1902582.3;0.015700000000000047;600000.0;2309999.9999999963;986186.7280193205;1688.2638068616814;1.275605474583334;1716204.065337138;0.1775;411825.46994237305;3.303307281400042;0.0;118107.1429;43.3884;4.18333844739069;0;0;0;0
2008-12-31;2008-12-31;ENEL IM Equity;75981.0;-39.5957;-38.49;8.783002072452698;90.76963666975496;2036308.24;0.011800000000000033;600000.0;2109999.9999999963;879100.9127298079;2452.428119826267;0.2613592212546084;1847650.6450612037;0.1511;121343.78915560083;2.1357458479018403;0.0;91993.41439999998;49.1736;5.1974673410999905;0;0;0;0
2009-12-31;2009-12-31;ENEL IM Equity;81208.0;12.78323;23.45;8.80102869808083;91.23030848600521;1411614.18;0.009600000000000053;600000.0;2242426.2299999967;1508357.796853224;2581.080517173037;0.009600000000000053;1659184.6612901492;0.10419999999999996;592146.8426440043;3.5207022279185103;0.0;119107.14290000004;57.8512;4.824508744956235;0;0;0;0
2010-12-31;2010-12-31;ENEL IM Equity;78313.0;-1.549856;12.78;13.0;91.17017738686816;2661678.51;0.01419999999999999;600000.0;3960000.0;976917.0007820572;2556.511277758157;0.01419999999999999;1620929.6894106972;0.1794;404275.36010720814;2.3568598005039396;0.0;118571.42859999996;64.4628;5.108390169365239;0;0;0;0
2011-12-31;2011-12-31;ENEL IM Equity;75360.0;-9.415385;-30.0;13.0;95.18947972413783;2661678.51;0.008900000000000019;1382582.0;4314455.0;2931873.0;1748.638473513831;0.008900000000000019;1372330.5099513847;0.14180000000000004;2931873.0;2.3090924152854257;0.0;89733.79999999996;67.3554;4.952730123154378;0;0;0;0
2012-12-31;2012-12-31;ENEL IM Equity;73702.0;6.894105000000001;13.41;13.0;90.21517621759038;2.9103830456733704e-11;0.008900000000000019;1423357.0;5298393.000000004;3125036.0;2393.022606231867;0.008900000000000019;1836705.7384963678;0.12;2525036.0;3.1475117796895553;1.0;143142.8571;68.1818;4.7484847821292435;0;0;0;0
