,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
20,53.0,90.90397646730517,0.0,0.0295,2000000.0,62099121.0,1137114.4525995413,418.829692648003,0.5656786573831641,0.0,0.0554,818989.1284353015,0.0,11.0,313121.1630766019,70.614,6.777284790792148,0.0,0.0,0.0,0.0,2010-12-31,28
21,46.0,89.30900902948918,0.0,0.0536,1323000.0,4183000.0,922285.7813424739,2429.277664060203,0.030808779149676654,1106625.9980192357,0.0962,745208.9512498016,4.491191239171604,3.0,274142.8571,70.1754,2.269365949448009,0.0,1.0,0.0,0.0,2011-12-31,28
22,46.0,86.51395871796818,0.0,0.1026,2300000.0,7862000.0,1383607.201237337,3147.1441236960486,0.36363775400930953,299549.914185397,0.1937,580221.0565487846,1.1678479515503908,2.0,243600.0,72.807,4.5833,0.0,1.0,0.0,0.0,2012-12-31,28
23,48.0,96.623,436000.0,0.1023,3333000.0,8608000.0,2864507.9871010813,8956.12,0.048143987505688865,206381.41876614222,0.2477,1515484.5937017035,1.0110530644745466,5.0,285777.7778,74.1228,5.5833,0.0,1.0,0.0,0.0,2013-12-31,28
24,51.0,96.623,119000.0,0.0752,1634000.0,5371000.0,2657825.989507548,8956.12,1.3596691457675842,9070.436525951014,0.1479,2101632.2815941977,8.17350690187682,1.0,245250.0,76.7544,1.6667,0.0,1.0,1.0,0.0,2014-12-31,28
25,48.0,96.623,119000.0,0.0563,1650000.0,5135000.0,2646894.000156225,8956.12,1.756285505686583,7755.540902182244,0.1142,2122610.2801052853,12.376687042431053,0.0,253300.0,71.9298,2.6667,0.0,1.0,1.0,0.0,2015-12-31,28
26,19.0,96.623,338000.0,0.0617,2412000.0,5336000.0,2260765.2159590335,8956.12,1.3294156351596291,68257.00393805881,0.1199,1788114.1960090504,6.795800976245747,2.0,327000.0,70.614,3.6667,0.0,1.0,1.0,0.0,2016-12-31,28
27,37.0,96.623,119000.0,0.0357,2600000.0,3875000.0,1661246.5606644233,8956.12,0.03471158105050501,5994.577720621357,0.0638,1342290.895386118,0.0,0.0,238277.7778,69.7368,3.6667,0.0,1.0,1.0,0.0,2017-12-31,28
28,42.0,96.623,59000.0,0.0459,2600000.0,4216000.0,1904213.3226865092,8956.12,0.034538344654115184,26622.80682634217,0.0852,1538608.5764973755,0.0,0.0,245166.6667,71.0526,3.6667,0.0,1.0,1.0,0.0,2018-12-31,28
29,36.0,96.623,59000.0,0.0466,2613000.0,4507000.0,2135808.419011791,8956.12,0.032146907599888336,39405.367695134606,0.0878,1725737.9265735997,0.0,0.0,316636.3636,69.2982,3.6667,0.0,1.0,1.0,0.0,2019-12-31,28
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-12-31,10
