,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
46,4.125086806079992,85.5907131269169,428978.27331087226,0.39157709664713436,1410764.1876564985,22205146.124761105,1771673.935329078,891.9291213880305,-0.6215103054324338,1692415.680812764,1.031808680341551,1245050.0157034965,0.3603974554160203,1.2629606360984724,235049.3650971682,38.843,5.227099779865652,0.3379307115010758,0.3061188953692753,0.0,0.1336480226734491,2006-12-31,22
47,5.1344283537907245,92.29102707631428,1902582.3,0.0157,600000.0,2310000.0,710521.9274553795,1463.72077727912,-0.49791522952668643,320107.1619872955,0.1775,449827.93098602677,4.665220055023006,0.0,118107.1429,43.3884,3.997950144272427,0.18695018479957481,0.1378786326072774,0.0,0.2219339251057093,2007-12-31,22
48,5.9477395743537045,92.3716468665992,2036308.24,0.0118,600000.0,2110000.0,735749.908252414,1474.500468152378,-0.5093949329073606,317903.30046136765,0.1511,455623.74047701654,4.737233879626565,0.0,91993.4144,49.1736,3.7730450140518146,0.20899671928123442,0.10190423043064278,0.0,0.19015559510130298,2008-12-31,22
49,7.2828373095288725,92.2847284423766,1411614.18,0.0096,600000.0,2242426.23,699195.3454926437,1474.4592661632041,0.0096,265089.5116944438,0.1042,455417.7797538398,4.867998310809753,0.0,119107.1429,57.8512,4.167235503811539,0.22181290925649388,-0.03704366406124571,0.0,0.15927225367215847,2009-12-31,22
50,13.0,91.73619908681157,2661678.51,0.0142,600000.0,3960000.0,750435.4339676899,1344.8617489209732,0.0142,525371.4026190989,0.1794,467945.0496168673,4.847112751725952,0.0,118571.4286,64.4628,3.747778362766726,0.0,0.0,0.0,0.07302519618653558,2010-12-31,22
51,13.0,97.17528734959862,2661678.51,0.0089,1382582.0,4314455.0,2931873.0,6578.541708447402,0.0089,-8784785.750530154,0.1418,2931873.0,14.172516644942107,0.0,89733.8,67.3554,5.980362652231809,0.0,0.0,0.0,-3.616522093276199,2011-12-31,22
52,13.0,94.40424516313894,0.0,0.0089,1423357.0,5298393.0,3125036.0,4751.627942557869,0.0089,-4223836.856967586,0.12,2525036.0,13.379372538491197,1.0,143142.8571,68.1818,7.075814877615956,0.0,0.0,0.0,-2.3118851996581284,2012-12-31,22
53,13.0,95.18114567426105,74365.0,0.0063,1424261.0,3203735.0,3125036.0,4961.856839177601,0.0089,-4342751.352825065,0.0956,2525036.0,19.0535,0.0,275540.5,66.9421,8.153573608411458,0.0,0.0,0.0,-2.661641298302648,2013-12-31,22
54,13.0,96.27179592952142,74365.0,0.0063,1424261.0,0.0,3125036.0,5269.972498164418,0.0089,-4964481.56923826,0.0956,2525036.0,19.0535,0.0,143171.0,66.9421,7.181758808642451,0.0,0.0,0.0,-2.6329291194960422,2014-12-31,22
55,13.0,95.33246521029957,127050.0,0.0045,1155000.0,2541000.0,3125036.0,4867.393523825194,0.0089,-4406848.426803089,0.0569,2525036.0,19.0535,0.0,146155.5,68.1818,7.464347844327165,0.0,0.0,0.0,-2.5931319665315407,2015-12-31,22
