Dates;Entreprises;NUMBER_EMPLOYEES_CSR;AUDIT_COMMITTEE_MEETINGS;^GSPC;^N100;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED;yearly_return;^STOXX50E
2012-12-31;BAYN GR Equity;110500.0;4.0;0.1617019056626079;0.15008838192295235;89.47454441722749;543249.8248929137;0.056999999999999995;1773000.0;4668000.0;1498730.8789137257;1412.549423495291;0.06900000000000006;168056.75954671926;0.11099999999999999;901602.9306818135;0.18091795510029263;0.0;109962.96300000002;64.4628;3.0;1;0;0;0;50.02536;0.1391163144742007
2013-12-31;BAYN GR Equity;113200.0;4.0;0.2535454287072507;0.15261624386330985;89.57663868506074;-257295.99497052073;0.10899999999999999;1347000.0;8486000.0;1827538.277902385;2121.2111178305327;0.137;1401989.1940614402;0.19100000000000006;802491.2578947381;2.9664558107042676;4.0;165450.0;64.0496;4.0;1;0;0;0;45.17986;0.1327333490511604
2014-12-31;BAYN GR Equity;118900.0;4.0;0.1206790194155467;0.03677604077121965;90.05506655997742;342648.8894853367;0.124;1363000.0;9169000.000000002;1430999.6336483248;1861.9709510693156;0.15800000000000003;620268.6614487113;0.21399999999999997;752278.1680494709;1.177197257289026;5.0;156476.19;66.5289;0.25;1;0;0;0;13.166260000000001;0.02018307261370711
2015-12-31;BAYN GR Equity;116800.0;4.0;-0.007904825985452724;0.07967845668137352;81.098;40000.0;0.09500000000000003;1374000.0;8818000.0;2398396.157119519;392.99400000000014;0.121;1698513.060245418;0.16900000000000004;805593.9187645977;4.315937183719456;1.0;149590.909;66.1157;1.25;1;0;0;0;4.204772;0.044518198599653225
2016-12-31;BAYN GR Equity;115200.0;4.0;0.1046855668232265;0.050606783907550135;81.098;146000.0;0.174;1760000.0;15448000.0;2002002.5463442558;392.99400000000014;0.22999999999999998;-565756.9467098967;0.33299999999999996;979500.7132106432;-0.24127663345473715;6.0;158136.364;66.9421;2.25;1;0;0;0;-12.251389999999999;0.015468421523568976
2017-12-31;BAYN GR Equity;99820.0;4.0;0.198208368270798;0.09478953255324174;81.098;49000.0;0.17099999999999999;1487000.0;12296000.0;1759238.2833046434;392.99400000000014;0.22599999999999998;907731.8663452609;0.33399999999999996;907262.2320689698;0.0;0.0;142423.077;65.7025;3.25;1;0;0;0;7.474365;0.05317903697204618
2018-12-31;BAYN GR Equity;116998.0;4.0;-0.07633121497749308;-0.12635646335293693;81.098;46000.0;0.14099999999999996;1511000.0;12763000.0;2423577.749359902;392.99400000000014;0.18200000000000005;-666809.1370458079;0.301;516292.906071874;0.0;6.0;185571.42899999997;61.9835;0.5830000000000006;1;0;0;0;-39.17129;-0.14733312932946283
2019-12-31;BAYN GR Equity;105224.0;4.0;0.3002384464476182;0.2810562486423651;81.098;47000.0;0.139;1650000.0;13230000.0;1961773.7633930203;392.99400000000014;0.18000000000000005;557378.7453375781;0.2769999999999999;794337.8155939862;0.0;3.0;185600.0;67.7686;1.5830000000000002;1;0;0;0;25.85821;0.2693366319549069
2005-12-31;ENEL IM Equity;51778.0;;0.03001022658127717;0.24194382281582086;88.35562326843734;1009864.6763875344;3.393424541619284;1709902.288568799;100883978.68958105;941127.6202286071;1086.3179095107516;-0.0029873176212934505;153799.63065441744;-0.35001937554452844;530533.0616550567;0.4236865404751866;2.2228240059942688;438425.2849288726;38.4298;4.492785172499351;0;0;0;0;-0.8082015000000009;0.23060788906712476
2006-12-31;ENEL IM Equity;43557.0;;0.13597800585018627;0.19175369386878935;84.8169635289829;-1773667.833013176;7.682020243001089;2269337.036344248;24774800.140735846;2152736.5751125114;2295.699408324816;1.8465441945055416;255381.74612474162;-3.578487015046749;556068.1066028436;2.540902424795673;1.9733207394278227;2503475.898215038;38.843;3.810858349616674;0;0;0;0;28.932779999999998;0.12608706323169705
